transaction_id,sender_address,receiver_address,amount,gas_fee,transaction_count,is_fraud
7b08fa94-201b-428a-a8ca-7137c25aed38,0xf0f95d177bf49e8cfaaf2a7e8885357b8ee3c1c6,0x464dd2f75aaa8a674be31e944c73d8dda26a127d,69.7093,0.03457,28,0
576af864-c75e-452f-9013-b575bd0f7beb,0xea5aa6dfcd8f495d4a185e2cba43010c8fa7296e,0x4679c9a470c12d3cb3447187651b9fa654778578,46.354,0.07424,18,0
e5099efd-0dec-4ddb-9b90-9deb26a8d6f4,0x80a9f27f1918835835a0fd1370dadf49d48ca525,0x68bb3ba5021de33b83cdab0be565cc5b0129d436,5.1276,0.00993,79,0
49192394-1b0c-4b29-94ed-7e44351c7f67,0x62f4d8cfae740565ee0bf5fb84b9725f4a057a0a,0x165cc293c5a2e702340a83bff6332e85c7caa765,82.016,0.04478,23,1
6394108c-ef9d-4741-b636-f0097314bfe5,0xc379c02ee7ee1d0ad32efa9476467b40fbb40c09,0x6b4aae136082584359e2933cc7a393a2024c0c52,11.8629,0.06488,34,0
8b69ffe9-416f-4897-b744-569040dd396b,0xd8eff909482bd5f50931b469cef7561232367a55,0xa90a59c6efef2ca7dd44ea54b121eff160325519,73.5481,0.07486,120,0
af144c19-e469-4370-aaf6-a62d9cf06896,0xeed0699457a1e63432a905188b8f614bdf730e8f,0xc82596605a21ec75162c711f41ca52a1e317d57c,88.4495,0.08916,105,1
a3b88ffe-c9d1-426d-accd-427daff154b8,0xccfb3a4acac0140b33069a156770365303d6ec71,0xd7e9d02df0cff6e5c6919ed98433b27e5828562c,15.2842,0.01322,149,0
703ecb2a-4294-448c-be93-4fa5899aa841,0x6c9e6afbe074c9d19b62740d861d9f0724db3128,0xaa1ff4f78a095386dbd50066d74c9bb059d046bd,91.7146,0.01879,63,1
1d70e9bf-76e1-428b-842a-c6e5efba06d4,0xff50730f52abf73aedd12668cc653572e069fa44,0xe58ca589a7ee7605a27afbabf9543146d2382f77,61.2285,0.04812,56,0
2e23bfcf-ad79-4140-8e58-423dc4c8bdaa,0xb35e5050f444c00b56dbc3769fb17153c184d775,0xb5ffe92a226b1b931f98931b9a91c2450f475f71,56.651,0.01212,132,0
e9c23491-b2d6-4efe-97f9-830840c074dd,0xc0d6a61bd61aadf866eddde90b5e7f2bed6aa511,0xa115f069427c142028ef64a9b6a109b8087fa686,65.4487,0.08604,155,1
c2bf842f-457e-469d-9e64-098fd88f0e37,0x286139607be3289fb3f0d0a425b5d18781a83a89,0x895071465303911f9b009c732c6699d13876779c,61.2768,0.01952,30,0
5d4f46a4-6bd1-4797-919e-d00008880073,0x5444344b1c200b94284476efdbd6f62430b7ce6d,0x28a2dac6c1fc316a8a1d069d5d2a9d2033ca95fe,91.09,0.04551,117,1
66919662-17e3-4bd6-8e73-e3763a540fbd,0x576fc8390191ff59fc02e9e79d3fe433e8fcdfcd,0x8ec5973be4ef4c4a07135b16d7640fedc72cd6d8,93.0887,0.04137,114,1
0db92199-4257-411a-b6c4-7d6ed94ca657,0x2dc658d2161413e8290641c178e92078c02eb7c1,0xd201290a9ffc30a7eab91eb7cd755314aed36e4d,7.8756,0.05604,20,0
5d807c8f-f6cd-4c9c-b0af-c4fbfbf21552,0x01ac6b0c85622e180bee0c2b9083ac29e81f2994,0x75a574822a1427bd270c3356c413216b5eb0ca72,98.0332,0.04011,14,1
b41db384-f89f-4083-8577-6a7582d0a432,0x4ff0b32b5ea3dacf7897996349d5ed7113916037,0xb82f9cf4becf2f0d38fba9aff02e9d5402ed9035,57.0856,0.0268,139,0
7419c748-8fa5-412c-9472-11c64a6371dd,0xd088c2adb4af78ba4bb0c43f31d90c9b68461c5c,0x6fdc347113b24f6fe119e56051a4405973b7a03f,12.1979,0.0471,141,0
bdfdfb46-1b4e-43a7-bb9b-8428aef6af33,0xdadd87c5896a3b925fc2cdf36919401d5052e2d5,0xbfdf49ee035ccc927e37a9c137ce5ee70d463394,30.5011,0.01866,108,0
29bacacb-511f-491c-b723-3d0da049f42d,0x905e49ec363439ce2051438a0cc43b72bcafa57b,0x0418d763ac0aa2e343c8dafd68256f8b1da4debe,45.1636,0.08475,149,0
0595d4f0-759f-4520-a00f-8bf4e5d7affc,0xd3ba9e75214422cb7821a412e699d417d71bf850,0x4e8053beca8d22c96e1b3ab42a40cbfa53310f10,12.4579,0.06757,124,0
92289803-832a-42cc-87c6-218d5b566bc6,0xe8dcfed87c5d5ffcacb0c1828d7658cc4ea7bd89,0xdd235426af8f92f4538d31ea7f6923212d7e7a64,86.1584,0.0369,136,1
1265aca6-e02d-425f-be12-61e0e4fce69e,0xcf18fa88080c67f32309fa753aa543139d354800,0xf27f1d18234439947b25a3ff33219dfb9b123394,34.3972,0.03815,72,0
a9b58b9b-edee-4104-abc9-297eee2494fe,0xfdf2fe7220abb73f4b70813f31fa49667c939e1d,0x3628c62ae7bd10695dcc9ba41b4829d36485d1da,8.4794,0.06635,100,0
80fe8352-3ed5-4853-8f4e-4f09a79c702c,0x4ae9fe3479708bb11b65322acb886170e4222a79,0x4dbe024142e8f0c5e42bfd584f6f54c3b376ea17,59.3585,0.05369,116,0
6c77d80f-bb57-496c-af80-1d5f55dcf784,0xd361676d8cb3a5ce2082cc8ec6f524f587e36048,0x222506bf6ffd7c98f2403d46a0e1a658b1235180,84.7938,0.04344,148,1
a00e18d6-37c2-4307-8b5d-5c01b371c82b,0x22d8abed25ef0249822aa6069cf8cbbfd23166cf,0x458227cf32f62d3ee0805818abd69dec76437130,74.9876,0.08649,36,0
0cb3e078-4b66-4974-96c5-826ecb112bb5,0x6cdd20ec203f4e80441a99cd3ae8be059a8d47c2,0x3eb8bc808e063a037519345f61134a939fa3ea51,19.248,0.0442,129,0
b7ff835a-1a98-443f-81c6-387bc56c4b2d,0x95117c63dd6977e6b5a9ba77b3f4b69512fd59eb,0x1114fa0d7f96ab7e8dbacb184d6456b87018172e,8.7561,0.08444,32,0
4234c0f3-b6dd-4131-a813-7479feac149e,0xacaf3d75c6c81038e54c041c11317b6a27e7a514,0x4a3ef23223d6a14372eb6cb1c478c589477864a7,25.133,0.0538,134,0
89ae4a48-0667-4559-b81b-008ee655ea97,0xf42b9f506b5e0c4b51064eec035096db4a3316d0,0xfb9661ed4bc6cef67172d601fdd501d6c2ab8ad9,7.7081,0.00587,194,0
00359091-f725-4af3-9e18-22a8fa0c903b,0xdc676b9640fcd47255cf5cfcca572be616bacdd5,0x12e8bf7eec0ba0ec2194d1f4d3e545eb7e7b6e58,37.913,0.04978,164,0
c500bd41-26b5-42af-98cf-ae8af7ca9cba,0xc2e2a2cd1bb8ab9960f442616c317a901ad962f8,0x8a1b639480930a794094fbba901b0b756ac00a03,58.861,0.05301,134,0
9e93b461-e7ab-4ef2-a5dc-1fbe7c753acf,0xb4dea314792d63819f5fee7e9b01d0321424ffd9,0x8c7bbadee554480eb802c6f29a3df588d4751764,7.8458,0.03725,173,0
ac10a385-c084-41e6-9655-9b12cc6ed4b4,0xd4738e4394462c725a8aca0042e2402781b90e8d,0x2caa97de903b9cefc2c5b2bdf367efb2b5b88ee6,76.2668,0.00121,172,0
46f15982-a3d2-4b2a-9051-7fdebebbf67c,0x5d9cd2cbd4fc9b55151a113c3f4e5b927d19318d,0x2ffc613c532db43f191ff76cb165b760a25d2840,51.9138,0.08983,1,0
0d0c623d-f8d2-4a8c-a516-313a15f0d3f8,0xa103cd74b3f768c6d9bac686f92028c1a1cb7335,0xc8cef755c5a7f6e9ee708417f210f6c379077fd1,52.6567,0.08768,50,0
332c4180-d196-4ab0-a672-0ad47ad5fe43,0xf05f1e0a50bcf72ef020d8dd9416c366c57480e7,0x615009aa93d327f0ec71fc0ef5155939f428fb5a,22.385,0.08163,83,0
986a0b9a-af1f-4f0a-9654-724f1400332c,0x85b373ac162bdf6f868205048f09c934b158fb3f,0xb0c5779ce753c02a2816ec4fe7a930bc4fe329ff,18.9489,0.06975,155,0
0b4f4e5c-40bd-4d32-828f-1b2673827148,0x5334a5505869ed6e173aff713bccee10ac279bde,0xdce5eba133ce0080eacbce4ef7e33b5bff4f9eb9,98.6699,0.05935,193,1
0c707304-ce01-45b7-97dd-3ff84034bc21,0xadd7971e94c403fcf89541f3c083403fe9658cf1,0xe29e5e76552a9b589b2146b04c04c822a6fba49a,47.8269,0.03172,143,0
5616f053-5daa-4305-b479-28a155374713,0x9bae6b34ca908ad37d28735c6679c9e13c84db6a,0xa7387cd38d5a95e0b4749c6dd68b6feaefd1612e,37.4178,0.00247,107,0
